customer_key,customer_name,industry,vertical,address,city,state,zip
1,Librairie Gallimard,Librairie,Librairie,247 avenue du Livre,Paris,75,58655
2,Librairie Gibert,Bibliotheque,Institutionnel,284 avenue du Livre,Lyon,69,23446
3,Fnac Livres,Grossiste,Distribution,265 avenue du Livre,Marseille,13,26341
4,Cultura,Ecole,Education,146 avenue du Livre,Toulouse,31,20993
5,Librairie Mollat,Universite,Education,83 avenue du Livre,Bordeaux,33,45755
6,Librairie Decitre,Mediatheque,Institutionnel,231 avenue du Livre,Nantes,44,77286
7,Le Furet du Nord,Librairie,Librairie,76 avenue du Livre,Strasbourg,67,67340
8,Librairie Kleen,Bibliotheque,Institutionnel,47 avenue du Livre,Lille,59,39102
9,Librairie Sauramps,Grossiste,Distribution,231 avenue du Livre,Rennes,35,55820
10,Librairie Dialogues,Ecole,Education,14 avenue du Livre,Grenoble,38,64381
11,Bibliotheque Nationale,Universite,Education,28 avenue du Livre,Rouen,76,61964
12,BU Paris-Saclay,Mediatheque,Institutionnel,258 avenue du Livre,Tours,37,59015
13,Mediatheque de Lyon,Librairie,Librairie,121 avenue du Livre,Dijon,21,60615
14,CDI Lycee Voltaire,Bibliotheque,Institutionnel,42 avenue du Livre,Clermont-Ferrand,63,59140
15,Ecole Normale Superieure,Grossiste,Distribution,115 avenue du Livre,Montpellier,34,13694
16,Grossiste Livres Express,Ecole,Education,164 avenue du Livre,Paris,75,22987
17,France Loisirs,Universite,Education,172 avenue du Livre,Lyon,69,29142
18,Chapitre.com,Mediatheque,Institutionnel,71 avenue du Livre,Marseille,13,15020
19,Leslibraires.fr,Librairie,Librairie,147 avenue du Livre,Toulouse,31,71925
20,Amazon France,Bibliotheque,Institutionnel,72 avenue du Livre,Bordeaux,33,71487
21,Librairie Gallimard - Nantes,Grossiste,Distribution,230 avenue du Livre,Nantes,44,90654
22,Librairie Gibert - Strasbourg,Ecole,Education,3 avenue du Livre,Strasbourg,67,20384
23,Fnac Livres - Lille,Universite,Education,10 avenue du Livre,Lille,59,43544
24,Cultura - Rennes,Mediatheque,Institutionnel,111 avenue du Livre,Rennes,35,29597
25,Librairie Mollat - Grenoble,Librairie,Librairie,281 avenue du Livre,Grenoble,38,89807
26,Librairie Decitre - Rouen,Bibliotheque,Institutionnel,271 avenue du Livre,Rouen,76,65476
27,Le Furet du Nord - Tours,Grossiste,Distribution,57 avenue du Livre,Tours,37,47762
28,Librairie Kleen - Dijon,Ecole,Education,122 avenue du Livre,Dijon,21,49472
29,Librairie Sauramps - Clermont-Ferrand,Universite,Education,63 avenue du Livre,Clermont-Ferrand,63,16258
30,Librairie Dialogues - Montpellier,Mediatheque,Institutionnel,123 avenue du Livre,Montpellier,34,65027
31,Bibliotheque Nationale - Paris,Librairie,Librairie,235 avenue du Livre,Paris,75,18232
32,BU Paris-Saclay - Lyon,Bibliotheque,Institutionnel,57 avenue du Livre,Lyon,69,75513
33,Mediatheque de Lyon - Marseille,Grossiste,Distribution,275 avenue du Livre,Marseille,13,12154
34,CDI Lycee Voltaire - Toulouse,Ecole,Education,264 avenue du Livre,Toulouse,31,85372
35,Ecole Normale Superieure - Bordeaux,Universite,Education,124 avenue du Livre,Bordeaux,33,28818
36,Grossiste Livres Express - Nantes,Mediatheque,Institutionnel,150 avenue du Livre,Nantes,44,66261
37,France Loisirs - Strasbourg,Librairie,Librairie,1 avenue du Livre,Strasbourg,67,90584
38,Chapitre.com - Lille,Bibliotheque,Institutionnel,181 avenue du Livre,Lille,59,41531
39,Leslibraires.fr - Rennes,Grossiste,Distribution,293 avenue du Livre,Rennes,35,64600
40,Amazon France - Grenoble,Ecole,Education,96 avenue du Livre,Grenoble,38,97080
41,Librairie Gallimard - Rouen,Universite,Education,44 avenue du Livre,Rouen,76,78614
42,Librairie Gibert - Tours,Mediatheque,Institutionnel,185 avenue du Livre,Tours,37,18870
43,Fnac Livres - Dijon,Librairie,Librairie,270 avenue du Livre,Dijon,21,81313
44,Cultura - Clermont-Ferrand,Bibliotheque,Institutionnel,260 avenue du Livre,Clermont-Ferrand,63,76535
45,Librairie Mollat - Montpellier,Grossiste,Distribution,284 avenue du Livre,Montpellier,34,12665
46,Librairie Decitre - Paris,Ecole,Education,200 avenue du Livre,Paris,75,71621
47,Le Furet du Nord - Lyon,Universite,Education,23 avenue du Livre,Lyon,69,93318
48,Librairie Kleen - Marseille,Mediatheque,Institutionnel,199 avenue du Livre,Marseille,13,58929
49,Librairie Sauramps - Toulouse,Librairie,Librairie,130 avenue du Livre,Toulouse,31,12128
50,Librairie Dialogues - Bordeaux,Bibliotheque,Institutionnel,183 avenue du Livre,Bordeaux,33,18855
51,Bibliotheque Nationale - Nantes,Grossiste,Distribution,177 avenue du Livre,Nantes,44,41604
52,BU Paris-Saclay - Strasbourg,Ecole,Education,54 avenue du Livre,Strasbourg,67,86271
53,Mediatheque de Lyon - Lille,Universite,Education,171 avenue du Livre,Lille,59,27486
54,CDI Lycee Voltaire - Rennes,Mediatheque,Institutionnel,23 avenue du Livre,Rennes,35,56176
55,Ecole Normale Superieure - Grenoble,Librairie,Librairie,280 avenue du Livre,Grenoble,38,54374
56,Grossiste Livres Express - Rouen,Bibliotheque,Institutionnel,90 avenue du Livre,Rouen,76,99742
57,France Loisirs - Tours,Grossiste,Distribution,238 avenue du Livre,Tours,37,72722
58,Chapitre.com - Dijon,Ecole,Education,94 avenue du Livre,Dijon,21,27675
59,Leslibraires.fr - Clermont-Ferrand,Universite,Education,33 avenue du Livre,Clermont-Ferrand,63,69988
60,Amazon France - Montpellier,Mediatheque,Institutionnel,19 avenue du Livre,Montpellier,34,48462
61,Librairie Gallimard - Paris,Librairie,Librairie,104 avenue du Livre,Paris,75,15741
62,Librairie Gibert - Lyon,Bibliotheque,Institutionnel,103 avenue du Livre,Lyon,69,15492
63,Fnac Livres - Marseille,Grossiste,Distribution,162 avenue du Livre,Marseille,13,50642
64,Cultura - Toulouse,Ecole,Education,264 avenue du Livre,Toulouse,31,62196
65,Librairie Mollat - Bordeaux,Universite,Education,279 avenue du Livre,Bordeaux,33,72049
66,Librairie Decitre - Nantes,Mediatheque,Institutionnel,130 avenue du Livre,Nantes,44,14799
67,Le Furet du Nord - Strasbourg,Librairie,Librairie,98 avenue du Livre,Strasbourg,67,47501
68,Librairie Kleen - Lille,Bibliotheque,Institutionnel,183 avenue du Livre,Lille,59,16265
69,Librairie Sauramps - Rennes,Grossiste,Distribution,170 avenue du Livre,Rennes,35,45811
70,Librairie Dialogues - Grenoble,Ecole,Education,64 avenue du Livre,Grenoble,38,58237
71,Bibliotheque Nationale - Rouen,Universite,Education,224 avenue du Livre,Rouen,76,62431
72,BU Paris-Saclay - Tours,Mediatheque,Institutionnel,226 avenue du Livre,Tours,37,60678
73,Mediatheque de Lyon - Dijon,Librairie,Librairie,174 avenue du Livre,Dijon,21,34486
74,CDI Lycee Voltaire - Clermont-Ferrand,Bibliotheque,Institutionnel,255 avenue du Livre,Clermont-Ferrand,63,75211
75,Ecole Normale Superieure - Montpellier,Grossiste,Distribution,189 avenue du Livre,Montpellier,34,78062
76,Grossiste Livres Express - Paris,Ecole,Education,137 avenue du Livre,Paris,75,20828
77,France Loisirs - Lyon,Universite,Education,218 avenue du Livre,Lyon,69,20345
78,Chapitre.com - Marseille,Mediatheque,Institutionnel,221 avenue du Livre,Marseille,13,88964
79,Leslibraires.fr - Toulouse,Librairie,Librairie,93 avenue du Livre,Toulouse,31,81496
80,Amazon France - Bordeaux,Bibliotheque,Institutionnel,151 avenue du Livre,Bordeaux,33,52101
81,Librairie Gallimard - Nantes,Grossiste,Distribution,53 avenue du Livre,Nantes,44,20494
82,Librairie Gibert - Strasbourg,Ecole,Education,168 avenue du Livre,Strasbourg,67,96628
83,Fnac Livres - Lille,Universite,Education,152 avenue du Livre,Lille,59,50173
84,Cultura - Rennes,Mediatheque,Institutionnel,229 avenue du Livre,Rennes,35,88986
85,Librairie Mollat - Grenoble,Librairie,Librairie,219 avenue du Livre,Grenoble,38,31842
86,Librairie Decitre - Rouen,Bibliotheque,Institutionnel,228 avenue du Livre,Rouen,76,56077
87,Le Furet du Nord - Tours,Grossiste,Distribution,229 avenue du Livre,Tours,37,15551
88,Librairie Kleen - Dijon,Ecole,Education,181 avenue du Livre,Dijon,21,90589
89,Librairie Sauramps - Clermont-Ferrand,Universite,Education,223 avenue du Livre,Clermont-Ferrand,63,45986
90,Librairie Dialogues - Montpellier,Mediatheque,Institutionnel,30 avenue du Livre,Montpellier,34,19835
91,Bibliotheque Nationale - Paris,Librairie,Librairie,208 avenue du Livre,Paris,75,57619
92,BU Paris-Saclay - Lyon,Bibliotheque,Institutionnel,263 avenue du Livre,Lyon,69,99051
93,Mediatheque de Lyon - Marseille,Grossiste,Distribution,82 avenue du Livre,Marseille,13,14081
94,CDI Lycee Voltaire - Toulouse,Ecole,Education,74 avenue du Livre,Toulouse,31,89635
95,Ecole Normale Superieure - Bordeaux,Universite,Education,225 avenue du Livre,Bordeaux,33,14561
96,Grossiste Livres Express - Nantes,Mediatheque,Institutionnel,65 avenue du Livre,Nantes,44,18812
97,France Loisirs - Strasbourg,Librairie,Librairie,121 avenue du Livre,Strasbourg,67,94562
98,Chapitre.com - Lille,Bibliotheque,Institutionnel,188 avenue du Livre,Lille,59,57467
99,Leslibraires.fr - Rennes,Grossiste,Distribution,197 avenue du Livre,Rennes,35,84349
100,Amazon France - Grenoble,Ecole,Education,17 avenue du Livre,Grenoble,38,89310
101,Librairie Gallimard - Rouen,Universite,Education,79 avenue du Livre,Rouen,76,99006
102,Librairie Gibert - Tours,Mediatheque,Institutionnel,231 avenue du Livre,Tours,37,58623
103,Fnac Livres - Dijon,Librairie,Librairie,191 avenue du Livre,Dijon,21,68188
104,Cultura - Clermont-Ferrand,Bibliotheque,Institutionnel,40 avenue du Livre,Clermont-Ferrand,63,85225
105,Librairie Mollat - Montpellier,Grossiste,Distribution,71 avenue du Livre,Montpellier,34,79397
106,Librairie Decitre - Paris,Ecole,Education,188 avenue du Livre,Paris,75,62171
107,Le Furet du Nord - Lyon,Universite,Education,161 avenue du Livre,Lyon,69,95139
108,Librairie Kleen - Marseille,Mediatheque,Institutionnel,143 avenue du Livre,Marseille,13,42717
109,Librairie Sauramps - Toulouse,Librairie,Librairie,59 avenue du Livre,Toulouse,31,13396
110,Librairie Dialogues - Bordeaux,Bibliotheque,Institutionnel,96 avenue du Livre,Bordeaux,33,75410
111,Bibliotheque Nationale - Nantes,Grossiste,Distribution,266 avenue du Livre,Nantes,44,60723
112,BU Paris-Saclay - Strasbourg,Ecole,Education,288 avenue du Livre,Strasbourg,67,25435
113,Mediatheque de Lyon - Lille,Universite,Education,135 avenue du Livre,Lille,59,44116
114,CDI Lycee Voltaire - Rennes,Mediatheque,Institutionnel,229 avenue du Livre,Rennes,35,38124
115,Ecole Normale Superieure - Grenoble,Librairie,Librairie,147 avenue du Livre,Grenoble,38,74382
116,Grossiste Livres Express - Rouen,Bibliotheque,Institutionnel,103 avenue du Livre,Rouen,76,26074
117,France Loisirs - Tours,Grossiste,Distribution,70 avenue du Livre,Tours,37,19706
118,Chapitre.com - Dijon,Ecole,Education,232 avenue du Livre,Dijon,21,32630
119,Leslibraires.fr - Clermont-Ferrand,Universite,Education,228 avenue du Livre,Clermont-Ferrand,63,21506
120,Amazon France - Montpellier,Mediatheque,Institutionnel,164 avenue du Livre,Montpellier,34,97535
121,Librairie Gallimard - Paris,Librairie,Librairie,178 avenue du Livre,Paris,75,18511
122,Librairie Gibert - Lyon,Bibliotheque,Institutionnel,282 avenue du Livre,Lyon,69,81063
123,Fnac Livres - Marseille,Grossiste,Distribution,149 avenue du Livre,Marseille,13,49315
124,Cultura - Toulouse,Ecole,Education,81 avenue du Livre,Toulouse,31,93584
125,Librairie Mollat - Bordeaux,Universite,Education,90 avenue du Livre,Bordeaux,33,57381
126,Librairie Decitre - Nantes,Mediatheque,Institutionnel,261 avenue du Livre,Nantes,44,39391
127,Le Furet du Nord - Strasbourg,Librairie,Librairie,63 avenue du Livre,Strasbourg,67,36342
128,Librairie Kleen - Lille,Bibliotheque,Institutionnel,72 avenue du Livre,Lille,59,41029
129,Librairie Sauramps - Rennes,Grossiste,Distribution,253 avenue du Livre,Rennes,35,13445
130,Librairie Dialogues - Grenoble,Ecole,Education,185 avenue du Livre,Grenoble,38,82616
131,Bibliotheque Nationale - Rouen,Universite,Education,294 avenue du Livre,Rouen,76,58353
132,BU Paris-Saclay - Tours,Mediatheque,Institutionnel,240 avenue du Livre,Tours,37,82305
133,Mediatheque de Lyon - Dijon,Librairie,Librairie,67 avenue du Livre,Dijon,21,90209
134,CDI Lycee Voltaire - Clermont-Ferrand,Bibliotheque,Institutionnel,45 avenue du Livre,Clermont-Ferrand,63,18617
135,Ecole Normale Superieure - Montpellier,Grossiste,Distribution,159 avenue du Livre,Montpellier,34,62187
136,Grossiste Livres Express - Paris,Ecole,Education,246 avenue du Livre,Paris,75,78903
137,France Loisirs - Lyon,Universite,Education,211 avenue du Livre,Lyon,69,63665
138,Chapitre.com - Marseille,Mediatheque,Institutionnel,295 avenue du Livre,Marseille,13,19666
139,Leslibraires.fr - Toulouse,Librairie,Librairie,65 avenue du Livre,Toulouse,31,51553
140,Amazon France - Bordeaux,Bibliotheque,Institutionnel,38 avenue du Livre,Bordeaux,33,68979
141,Librairie Gallimard - Nantes,Grossiste,Distribution,239 avenue du Livre,Nantes,44,99143
142,Librairie Gibert - Strasbourg,Ecole,Education,265 avenue du Livre,Strasbourg,67,55156
143,Fnac Livres - Lille,Universite,Education,66 avenue du Livre,Lille,59,82260
144,Cultura - Rennes,Mediatheque,Institutionnel,94 avenue du Livre,Rennes,35,26912
145,Librairie Mollat - Grenoble,Librairie,Librairie,222 avenue du Livre,Grenoble,38,75911
146,Librairie Decitre - Rouen,Bibliotheque,Institutionnel,29 avenue du Livre,Rouen,76,26274
147,Le Furet du Nord - Tours,Grossiste,Distribution,266 avenue du Livre,Tours,37,30056
148,Librairie Kleen - Dijon,Ecole,Education,156 avenue du Livre,Dijon,21,31581
149,Librairie Sauramps - Clermont-Ferrand,Universite,Education,83 avenue du Livre,Clermont-Ferrand,63,52291
150,Librairie Dialogues - Montpellier,Mediatheque,Institutionnel,116 avenue du Livre,Montpellier,34,55353
151,Bibliotheque Nationale - Paris,Librairie,Librairie,266 avenue du Livre,Paris,75,47230
152,BU Paris-Saclay - Lyon,Bibliotheque,Institutionnel,41 avenue du Livre,Lyon,69,42847
153,Mediatheque de Lyon - Marseille,Grossiste,Distribution,101 avenue du Livre,Marseille,13,93238
154,CDI Lycee Voltaire - Toulouse,Ecole,Education,283 avenue du Livre,Toulouse,31,45972
155,Ecole Normale Superieure - Bordeaux,Universite,Education,65 avenue du Livre,Bordeaux,33,91922
156,Grossiste Livres Express - Nantes,Mediatheque,Institutionnel,156 avenue du Livre,Nantes,44,90534
157,France Loisirs - Strasbourg,Librairie,Librairie,274 avenue du Livre,Strasbourg,67,22245
158,Chapitre.com - Lille,Bibliotheque,Institutionnel,258 avenue du Livre,Lille,59,94015
159,Leslibraires.fr - Rennes,Grossiste,Distribution,87 avenue du Livre,Rennes,35,87569
160,Amazon France - Grenoble,Ecole,Education,298 avenue du Livre,Grenoble,38,30210
161,Librairie Gallimard - Rouen,Universite,Education,88 avenue du Livre,Rouen,76,96341
162,Librairie Gibert - Tours,Mediatheque,Institutionnel,173 avenue du Livre,Tours,37,83874
163,Fnac Livres - Dijon,Librairie,Librairie,22 avenue du Livre,Dijon,21,13718
164,Cultura - Clermont-Ferrand,Bibliotheque,Institutionnel,42 avenue du Livre,Clermont-Ferrand,63,15958
165,Librairie Mollat - Montpellier,Grossiste,Distribution,296 avenue du Livre,Montpellier,34,44688
166,Librairie Decitre - Paris,Ecole,Education,108 avenue du Livre,Paris,75,84991
167,Le Furet du Nord - Lyon,Universite,Education,214 avenue du Livre,Lyon,69,91016
168,Librairie Kleen - Marseille,Mediatheque,Institutionnel,16 avenue du Livre,Marseille,13,75278
169,Librairie Sauramps - Toulouse,Librairie,Librairie,280 avenue du Livre,Toulouse,31,47967
170,Librairie Dialogues - Bordeaux,Bibliotheque,Institutionnel,155 avenue du Livre,Bordeaux,33,73300
171,Bibliotheque Nationale - Nantes,Grossiste,Distribution,126 avenue du Livre,Nantes,44,99783
172,BU Paris-Saclay - Strasbourg,Ecole,Education,208 avenue du Livre,Strasbourg,67,48985
173,Mediatheque de Lyon - Lille,Universite,Education,233 avenue du Livre,Lille,59,19564
174,CDI Lycee Voltaire - Rennes,Mediatheque,Institutionnel,31 avenue du Livre,Rennes,35,30719
175,Ecole Normale Superieure - Grenoble,Librairie,Librairie,226 avenue du Livre,Grenoble,38,64476
176,Grossiste Livres Express - Rouen,Bibliotheque,Institutionnel,248 avenue du Livre,Rouen,76,70875
177,France Loisirs - Tours,Grossiste,Distribution,105 avenue du Livre,Tours,37,54589
178,Chapitre.com - Dijon,Ecole,Education,74 avenue du Livre,Dijon,21,50970
179,Leslibraires.fr - Clermont-Ferrand,Universite,Education,164 avenue du Livre,Clermont-Ferrand,63,55268
180,Amazon France - Montpellier,Mediatheque,Institutionnel,205 avenue du Livre,Montpellier,34,27139
181,Librairie Gallimard - Paris,Librairie,Librairie,190 avenue du Livre,Paris,75,77499
182,Librairie Gibert - Lyon,Bibliotheque,Institutionnel,288 avenue du Livre,Lyon,69,23917
183,Fnac Livres - Marseille,Grossiste,Distribution,164 avenue du Livre,Marseille,13,41685
184,Cultura - Toulouse,Ecole,Education,239 avenue du Livre,Toulouse,31,26059
185,Librairie Mollat - Bordeaux,Universite,Education,137 avenue du Livre,Bordeaux,33,68929
186,Librairie Decitre - Nantes,Mediatheque,Institutionnel,127 avenue du Livre,Nantes,44,28465
187,Le Furet du Nord - Strasbourg,Librairie,Librairie,50 avenue du Livre,Strasbourg,67,16632
188,Librairie Kleen - Lille,Bibliotheque,Institutionnel,149 avenue du Livre,Lille,59,60351
189,Librairie Sauramps - Rennes,Grossiste,Distribution,215 avenue du Livre,Rennes,35,42541
190,Librairie Dialogues - Grenoble,Ecole,Education,82 avenue du Livre,Grenoble,38,52917
191,Bibliotheque Nationale - Rouen,Universite,Education,296 avenue du Livre,Rouen,76,50988
192,BU Paris-Saclay - Tours,Mediatheque,Institutionnel,98 avenue du Livre,Tours,37,30885
193,Mediatheque de Lyon - Dijon,Librairie,Librairie,256 avenue du Livre,Dijon,21,77466
194,CDI Lycee Voltaire - Clermont-Ferrand,Bibliotheque,Institutionnel,240 avenue du Livre,Clermont-Ferrand,63,75373
195,Ecole Normale Superieure - Montpellier,Grossiste,Distribution,158 avenue du Livre,Montpellier,34,75191
196,Grossiste Livres Express - Paris,Ecole,Education,12 avenue du Livre,Paris,75,21802
197,France Loisirs - Lyon,Universite,Education,202 avenue du Livre,Lyon,69,76249
198,Chapitre.com - Marseille,Mediatheque,Institutionnel,235 avenue du Livre,Marseille,13,41552
199,Leslibraires.fr - Toulouse,Librairie,Librairie,111 avenue du Livre,Toulouse,31,86460
200,Amazon France - Bordeaux,Bibliotheque,Institutionnel,181 avenue du Livre,Bordeaux,33,16377
201,Librairie Gallimard - Nantes,Grossiste,Distribution,26 avenue du Livre,Nantes,44,46877
202,Librairie Gibert - Strasbourg,Ecole,Education,254 avenue du Livre,Strasbourg,67,88317
203,Fnac Livres - Lille,Universite,Education,241 avenue du Livre,Lille,59,47453
204,Cultura - Rennes,Mediatheque,Institutionnel,275 avenue du Livre,Rennes,35,11071
205,Librairie Mollat - Grenoble,Librairie,Librairie,56 avenue du Livre,Grenoble,38,66482
206,Librairie Decitre - Rouen,Bibliotheque,Institutionnel,69 avenue du Livre,Rouen,76,44664
207,Le Furet du Nord - Tours,Grossiste,Distribution,188 avenue du Livre,Tours,37,62855
208,Librairie Kleen - Dijon,Ecole,Education,188 avenue du Livre,Dijon,21,15930
209,Librairie Sauramps - Clermont-Ferrand,Universite,Education,206 avenue du Livre,Clermont-Ferrand,63,16705
210,Librairie Dialogues - Montpellier,Mediatheque,Institutionnel,292 avenue du Livre,Montpellier,34,83638
211,Bibliotheque Nationale - Paris,Librairie,Librairie,100 avenue du Livre,Paris,75,57516
212,BU Paris-Saclay - Lyon,Bibliotheque,Institutionnel,284 avenue du Livre,Lyon,69,47827
213,Mediatheque de Lyon - Marseille,Grossiste,Distribution,38 avenue du Livre,Marseille,13,60639
214,CDI Lycee Voltaire - Toulouse,Ecole,Education,259 avenue du Livre,Toulouse,31,69028
215,Ecole Normale Superieure - Bordeaux,Universite,Education,282 avenue du Livre,Bordeaux,33,46663
216,Grossiste Livres Express - Nantes,Mediatheque,Institutionnel,61 avenue du Livre,Nantes,44,26864
217,France Loisirs - Strasbourg,Librairie,Librairie,50 avenue du Livre,Strasbourg,67,61629
218,Chapitre.com - Lille,Bibliotheque,Institutionnel,192 avenue du Livre,Lille,59,54444
219,Leslibraires.fr - Rennes,Grossiste,Distribution,286 avenue du Livre,Rennes,35,57920
220,Amazon France - Grenoble,Ecole,Education,74 avenue du Livre,Grenoble,38,36090
221,Librairie Gallimard - Rouen,Universite,Education,261 avenue du Livre,Rouen,76,62610
222,Librairie Gibert - Tours,Mediatheque,Institutionnel,257 avenue du Livre,Tours,37,15276
223,Fnac Livres - Dijon,Librairie,Librairie,24 avenue du Livre,Dijon,21,15100
224,Cultura - Clermont-Ferrand,Bibliotheque,Institutionnel,71 avenue du Livre,Clermont-Ferrand,63,53652
225,Librairie Mollat - Montpellier,Grossiste,Distribution,243 avenue du Livre,Montpellier,34,78069
226,Librairie Decitre - Paris,Ecole,Education,234 avenue du Livre,Paris,75,29521
227,Le Furet du Nord - Lyon,Universite,Education,264 avenue du Livre,Lyon,69,28321
228,Librairie Kleen - Marseille,Mediatheque,Institutionnel,168 avenue du Livre,Marseille,13,90356
229,Librairie Sauramps - Toulouse,Librairie,Librairie,164 avenue du Livre,Toulouse,31,31299
230,Librairie Dialogues - Bordeaux,Bibliotheque,Institutionnel,202 avenue du Livre,Bordeaux,33,90805
231,Bibliotheque Nationale - Nantes,Grossiste,Distribution,154 avenue du Livre,Nantes,44,87820
232,BU Paris-Saclay - Strasbourg,Ecole,Education,173 avenue du Livre,Strasbourg,67,76494
233,Mediatheque de Lyon - Lille,Universite,Education,261 avenue du Livre,Lille,59,79774
234,CDI Lycee Voltaire - Rennes,Mediatheque,Institutionnel,251 avenue du Livre,Rennes,35,83783
235,Ecole Normale Superieure - Grenoble,Librairie,Librairie,154 avenue du Livre,Grenoble,38,72245
236,Grossiste Livres Express - Rouen,Bibliotheque,Institutionnel,9 avenue du Livre,Rouen,76,58281
237,France Loisirs - Tours,Grossiste,Distribution,170 avenue du Livre,Tours,37,98317
238,Chapitre.com - Dijon,Ecole,Education,57 avenue du Livre,Dijon,21,64596
239,Leslibraires.fr - Clermont-Ferrand,Universite,Education,299 avenue du Livre,Clermont-Ferrand,63,50327
240,Amazon France - Montpellier,Mediatheque,Institutionnel,14 avenue du Livre,Montpellier,34,88238
241,Librairie Gallimard - Paris,Librairie,Librairie,243 avenue du Livre,Paris,75,44803
242,Librairie Gibert - Lyon,Bibliotheque,Institutionnel,297 avenue du Livre,Lyon,69,85711
243,Fnac Livres - Marseille,Grossiste,Distribution,117 avenue du Livre,Marseille,13,16731
244,Cultura - Toulouse,Ecole,Education,299 avenue du Livre,Toulouse,31,72973
245,Librairie Mollat - Bordeaux,Universite,Education,88 avenue du Livre,Bordeaux,33,78712
246,Librairie Decitre - Nantes,Mediatheque,Institutionnel,195 avenue du Livre,Nantes,44,29369
247,Le Furet du Nord - Strasbourg,Librairie,Librairie,125 avenue du Livre,Strasbourg,67,14138
248,Librairie Kleen - Lille,Bibliotheque,Institutionnel,294 avenue du Livre,Lille,59,24404
249,Librairie Sauramps - Rennes,Grossiste,Distribution,98 avenue du Livre,Rennes,35,12482
250,Librairie Dialogues - Grenoble,Ecole,Education,226 avenue du Livre,Grenoble,38,51116
251,Bibliotheque Nationale - Rouen,Universite,Education,215 avenue du Livre,Rouen,76,29848
252,BU Paris-Saclay - Tours,Mediatheque,Institutionnel,212 avenue du Livre,Tours,37,36724
